census_no,school_name,school_address,province,district,zone,education_division,school_type,category
22254,MALIGATHENNA M.V.,"MALIGATHENNA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,1.1AB,provincial
22255,MUTHTHAMIL T.V.,NAMUNUKULA,Uva,82.Moneragala,Moneragala,Badalkumbura,3.Type2,provincial
22256,THIRUWALLUWAR T.M.V.,"GAMEWELA, PASSARA",Uva,82.Moneragala,Moneragala,Badalkumbura,2.1C,provincial
22257,MEEGAHAMADA P.S.,"MEEGAHAMADA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22258,MEEGAHAYAYA P.V.,"MEEGAHAYAYA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22260,KESELKOTUWA P.V.,"MADUKOTANARAWA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22261,THANNAYAYA P.S.,"PALLEGAMA, KARAVILA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22262,KALUGAHAWADIYA P.V.,"KALUGAHAWADIYA, BADALKUMBURA",Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22263,D.S. SENANAYAKA K.V.,"DS GAMA, ETHILIWEWA",Uva,82.Moneragala,Wellawaya,Wellawaya,3.Type2,provincial
22264,MORAHELAGAMA P.V.,"UVA KARANDAGOLLA, ELLA.",Uva,82.Moneragala,Wellawaya,Wellawaya,4.Type3,provincial
22265,WIJAYAPURA JUNIOR SCHOOL,SOORYA ARA THANAMALWILA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,2.1C,provincial
22266,KARAMETIYA K.V.,MEDAGAMA-BIBILE,Uva,82.Moneragala,Bibile,Medagama,3.Type2,provincial
22267,WARAGAMA P.V.,"WARAGAMA, BUDDAMA, MONARAGALA",Uva,82.Moneragala,Moneragala,Siyambalanduwa,4.Type3,provincial
22268,KIULARA SAMANSIRI KARUNARATHNA P.V.,THANAMALWILA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22269,RATHUGALA P.S.,WELLASSA-GALGAMUWA-INGINIYAGALA,Uva,82.Moneragala,Bibile,Madulla,4.Type3,provincial
22271,VIDYALOKA P.V.,"WEDIKUMBURA, MONARAGALA",Uva,82.Moneragala,Moneragala,Moneragala,4.Type3,provincial
22272,ETHIMALE P.V.,"ETHIMALEWEA, MONARAGALA",Uva,82.Moneragala,Moneragala,Siyambalanduwa,4.Type3,provincial
22273,MADULUMINI P.S.,MAKULLA TOWN-DAMBAGALLA-MONARAGALA,Uva,82.Moneragala,Bibile,Madulla,4.Type3,provincial
22274,HAMBEGAMUWA P.V.,HAMBEGAMUWA THANAMALWILA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22275,MALWATTAWALA P.V.,WELLAWAYA.,Uva,82.Moneragala,Wellawaya,Wellawaya,4.Type3,provincial
22276,SHASHINDRA KUMARA P.V.,DIPO ROAD KATHARAGAMA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22277,SWARNAPRDEEPA P.V.,SWENAGALA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22278,PELWATTE P.V.,UVA PELWATTE.,Uva,82.Moneragala,Wellawaya,Buttala,4.Type3,provincial
22279,DUTUGEMUNU P.V.,BUTTALA.,Uva,82.Moneragala,Wellawaya,Buttala,4.Type3,provincial
22280,MEDAGAMA P.S.,MEDAGAMA-BIBILE,Uva,82.Moneragala,Bibile,Medagama,4.Type3,provincial
22281,PROF. SENAKA BIBILE P.V.,KURUWABA-BIBILE,Uva,82.Moneragala,Bibile,Bibile,4.Type3,provincial
22282,BAKINIGAHAWELA MUSLIM P.S.,BAKINIGAHAWELA-BIBILE,Uva,82.Moneragala,Bibile,Medagama,4.Type3,provincial
22283,MARIARAWA P.S.,MARIARAWA-MONARAGALA,Uva,82.Moneragala,Bibile,Madulla,4.Type3,provincial
22284,OBBEGODA P.S.,OBBEGODA-MONARAGALA,Uva,82.Moneragala,Bibile,Madulla,4.Type3,provincial
22285,OKKAMPITIYA VIJAYABAHU P.V.,OKKAMPITIYA.,Uva,82.Moneragala,Wellawaya,Buttala,4.Type3,provincial
22286,THANAMALVILA P.V.,UDAWALAWA ROAD THANAMALWILA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22287,NISHSHANKA P.V.,BADALKUMBURA,Uva,82.Moneragala,Moneragala,Badalkumbura,4.Type3,provincial
22288,MAHAGAMA MODEL PRAIMARY SCHOOL,MAHAGAMA KOLANIYA SEWANAGALA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22289,UVA WIJAYA P.S.,NANNAPURAWA-BIBILE,Uva,82.Moneragala,Bibile,Medagama,4.Type3,provincial
22290,DHARMAPRADEEPA P.V.,BIBILE,Uva,82.Moneragala,Bibile,Bibile,4.Type3,provincial
22291,PITAKUMBURA P.S.,PITAKUMBURA-BIBILE,Uva,82.Moneragala,Bibile,Bibile,4.Type3,provincial
22292,BANDARANAYAKA PRAIMARY SCHOOL,KIRIWEWA SEANAGALA,Uva,82.Moneragala,Thanamalwila,Thanamalwila,4.Type3,provincial
22293,CHANDAWIMALA P.V.,"GAMINI MW, ETHILIWEWA.",Uva,82.Moneragala,Wellawaya,Wellawaya,4.Type3,provincial
