census_no,school_name,school_address,province,district,zone,education_division,school_type,category
7274,PELENA SRI WAJIRAGNANA M.V.,PELENA WELIGAMA,Southern,32.Matara,Matara,Weligama,2.1C,provincial
7275,POLWATHUMODARA M.V.,"POLWATHUMODARA,MIRISSA",Southern,32.Matara,Matara,Weligama,2.1C,provincial
7276,WARAKAPITIYA.M.V.,"WARAKAPITIYA,DENIPITIYA",Southern,32.Matara,Akuressa,Welipitiya,2.1C,provincial
7277,POLWATTA PRIMARY SCHOOL,"POLWATTA , DENIPITIYA",Southern,32.Matara,Matara,Weligama,4.Type3,provincial
7279,DENIPITIYA MODEL K.V.,DENIPITIYA,Southern,32.Matara,Akuressa,Welipitiya,4.Type3,provincial
7280,NIDANGALA K.V.,NIDANGALA,Southern,32.Matara,Matara,Weligama,3.Type2,provincial
7281,"DHARMAPALA K.V., WELIGAMA",WELIGAMA,Southern,32.Matara,Matara,Weligama,4.Type3,provincial
7284,KAMBURUGAMUWA MAHA VIDYALAYA,KAMBURUGAMUWA MATARA,Southern,32.Matara,Matara,Weligama,2.1C,provincial
7285,KOTAWILA SRI RATHANAPALA M.V.,"KOTAWILA,KAMBURUGAMUWA",Southern,32.Matara,Matara,Weligama,2.1C,provincial
7286,THALARAMBA SRI INDRASARA MAHA VIDYALAYA,"THALARMBA, KAMBURUGAMUWA",Southern,32.Matara,Matara,Weligama,3.Type2,provincial
7287,MIRISSA M.M.VIDYALAYA,UDUPILA MIRISSA,Southern,32.Matara,Matara,Weligama,2.1C,provincial
7288,ISIPATHANA PRIMARY SCHOOL,KAMBURUGAMUVA,Southern,32.Matara,Matara,Weligama,4.Type3,provincial
7289,HENWALA JAYATHISSA VIDYALAYA,HENWALA MIRISSA,Southern,32.Matara,Matara,Weligama,3.Type2,provincial
7290,SEEWALEE MODEL PRIMARY SCHOOL,"THALARAMBA EAST , KAMBURUGAMUWA",Southern,32.Matara,Matara,Weligama,4.Type3,provincial
7291,GARANDUWA PRIMARY SCHOOL,"GARANDUWA , KAMBURUGAMUWA",Southern,32.Matara,Matara,Weligama,4.Type3,provincial
7294,DAMMASARA K.V.,MIRISSA,Southern,32.Matara,Matara,Weligama,3.Type2,provincial
7296,SULTHANAGODA M.V.,"SULTHANAGODA,MATARA",Southern,32.Matara,Akuressa,Malimboda,3.Type2,provincial
7297,MALIMBADA SRI SUMEDA M.V.,"MALIMBADA, PALATUWA",Southern,32.Matara,Akuressa,Malimboda,2.1C,provincial
7298,PALATUWA GUNARATHANA MADYA MAHA VIDYALAYA,PALATUWA. MATARA,Southern,32.Matara,Matara,Matara,1.1AB,provincial
7299,ATHTHUDAWA M.V.,"ATHTHUDAWA,PALATUWA",Southern,32.Matara,Matara,Matara,2.1C,provincial
7300,ANGUNNA BADULLA K.V.,WELLETOTO PALATUWA,Southern,32.Matara,Matara,Matara,3.Type2,provincial
7301,MALIMBADA NORTH M.V.,"MALIMBADA,PALATUWA",Southern,32.Matara,Akuressa,Malimboda,2.1C,provincial
7302,GALPAMUNA K.V.,"GALPAMUNA,PALATUWA",Southern,32.Matara,Akuressa,Malimboda,3.Type2,provincial
7303,UNELLA JAYANTHI VIDYALAYA,UNELLA PALATUWA,Southern,32.Matara,Matara,Matara,3.Type2,provincial
7304,SULTHANAGODA P.V.,"SULTHANAGODA,MATARA",Southern,32.Matara,Akuressa,Malimboda,4.Type3,provincial
7307,PAMBURANA SHARIPUTHRA M.V.,"PAMBURANA, MATARA",Southern,32.Matara,Matara,Matara,1.1AB,provincial
7308,POLHENA VIDYALAYA,"POLHENA , MATARA",Southern,32.Matara,Matara,Matara,4.Type3,provincial
7310,MAHANAMA MAHA VIDYALAYA,"WALGAMA, MATARA",Southern,32.Matara,Matara,Matara,1.1AB,provincial
7311,WEWAHAMANDUWA WANIGASEKARA M.V.,WEWAHAMANDUWA MATARA,Southern,32.Matara,Matara,Matara,3.Type2,provincial
7312,GODAGAMA ANAGARIKA DHARMAPALA VIDYALAYA,GODAGAMA MATARA,Southern,32.Matara,Matara,Matara,3.Type2,provincial
7313,HITTATIYA DHARMARAJA MAHA VIDYALAYA,MATARA,Southern,32.Matara,Matara,Matara,2.1C,provincial
7315,DUDLEY SENANAYAKA VIDYALAYA,ISADEEN TOWN MATARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7319,NADUGALA MAHA VIDYALAYA,NADUGALA,Southern,32.Matara,Matara,Matara,2.1C,provincial
7320,NAIMBALA BANDATTARA MAHA VIDYALAYA,THIHAGODA,Southern,32.Matara,Matara,Matara,2.1C,provincial
7321,MATARA MODEL PRIMARY SCHOOL,"THUDAWA , MATARA",Southern,32.Matara,Matara,Matara,4.Type3,provincial
7322,UYANWATHTHA MODEL PRIMARY SCHOOL,UYANWATHTHA MATARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7323,MEDHANANDA PRIMARY SCHOOL,NUPE MATARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7325,D.S.SENANAYAKA VIDYALAYA,GABADA WEEDIYA MATARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7326,WERAGAMPITA OLCOTT MODEL SCHOOL,"WERAGAMPITA, MATARA",Southern,32.Matara,Matara,Matara,4.Type3,provincial
7327,DHARUL ULOOM M.V.,"BATHUTHA RD, MATARA",Southern,32.Matara,Matara,Matara,2.1C,provincial
7329,DEEYAGAHA WEST M.V.,"NAWIMANA,MATARA",Southern,32.Matara,Matara,Matara,2.1C,provincial
7330,NAVIMANA MAHARAJA MAHA VIDYALAYA,NAVIMANA SOUTH MATARA,Southern,32.Matara,Matara,Matara,3.Type2,provincial
7331,ROHANA M.V.,"MEDDAWATHTHA, MATARA",Southern,32.Matara,Matara,Matara,2.1C,provincial
7332,KOTUWEGODA MAHAMAYA BALIKA MAHA VIDYALAYA,"BEACH RD, KOTUWEGODA, MATARA",Southern,32.Matara,Matara,Matara,2.1C,provincial
7333,DEEYAGAHA EAST K.V.,"DEEYAGAHA,MATARA",Southern,32.Matara,Matara,Matara,3.Type2,provincial
7334,NAWIMANA NORTH K.V.,"NAWIMANA NORTH, MATARA",Southern,32.Matara,Matara,Matara,3.Type2,provincial
7335,MATARA JANADHIPATHI VIDYALAYA,KOTUWA MATARA,Southern,32.Matara,Matara,Matara,1.1AB,provincial
7336,RUWANELLA K.V.,RUWANELLA MATARA,Southern,32.Matara,Matara,Matara,3.Type2,provincial
7337,NILWALA MODEL JUNIOR SCHOOL,PALLIMULLA MATARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7340,ILMA COLLEGE,KOTUWEGODA MATARA,Southern,32.Matara,Matara,Matara,1.1AB,provincial
7341,THALPAVILA M.M.V.,DEVINUWARA,Southern,32.Matara,Matara,Matara,1.1AB,provincial
7342,KOKAWALA CENTRAL COLLEGE,KOKAWALA KEKANADURA,Southern,32.Matara,Matara,Matara,2.1C,provincial
7343,MOTAGEDARA BANDARA NAYAKA M.V.,KEKANADURA,Southern,32.Matara,Matara,Matara,2.1C,provincial
7345,THALPAVILA MIHINDU MODEL SCHOOL,DEVINUWARA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7347,THALPAVILA GAMUNU PRIMARY SCHOOL,THALPAVILA KEKANDURA,Southern,32.Matara,Matara,Matara,4.Type3,provincial
7348,KEKANADURA VIJAYABA K.V.,"WEHERAHENA RD, KEKANADURA",Southern,32.Matara,Matara,Matara,3.Type2,provincial
