census_no,school_name,school_address,province,district,zone,education_division,school_type,category
17054,GONIGODA M. M.V.,PIHIMBUWA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17055,DODAMGASLANDA SIR JOHN KOTHALAWALA M.M.V.,DODAMGASLANDA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,1.1AB,provincial
17056,PALLEYAYA SRI VIDYARAJA M.V,PALLEYAYA DODAMGASLANDA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17057,PUSSELLA PRATHIRAJADEVA M.V.,PUSSELLA PUSSELITHENNA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17058,BULUWALA M.V.,BULUWALA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17059,KOSWATHTHA M.V.,KOSWATHTHA GOKARELLA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17060,WEERA WALAGAMBA M.V.,MADURAGODA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
17061,ALAKOLAMADA NALANDAWA P.V.,DODAMGASLANDA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17062,AMBAKOTE P.V.,AMBAKOTE,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17063,IKIRIWATHA P.V.,KANADENIYAWALA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17064,ERIYAGOLLA M.V.,IRIYAGOLLA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,3.Type2,provincial
17065,EGODAMULLA P.V.,IRIYAGOLLA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17066,KATIYAWA P.V.,UDAHENA DODAMGASLANDA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17067,KANDUPALATHA K.V.,MADURAGODA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,4.Type3,provincial
17068,DELVITA M.V.,DELVITA,North Western,61.Kurunegala,Ibbagamuwa,Rideegama,2.1C,provincial
