census_no,school_name,school_address,province,district,zone,education_division,school_type,category
16268,MUTTUR SIVASAKTHY VIDYALAYA,UPPOORAL EACHCHILAMPATTU,Eastern,53.Trincomalee,Muttur,Echchilampattu,4.Type3,provincial
16269,SEENANVELI ATHAVAN VIDYALAYAM,"SEENANVELI, EACHCHILAMPATTU",Eastern,53.Trincomalee,Muttur,Echchilampattu,4.Type3,provincial
16270,AL-AZHAR MUSLIM VIDYALAYAM,EHUTHAR NAGAR KINNIYA,Eastern,53.Trincomalee,Kinniya,Kinniya,4.Type3,provincial
16271,MEERA NAGAR MUSLIM VIDYALAYAM,MEERA NAGAR THAMPALAGAMAM,Eastern,53.Trincomalee,Kinniya,Mullipothana,3.Type2,provincial
16272,MUTUR MUSLIM LADIES COLLEGE,"NEW JETTY ROAD, MUTUR-01",Eastern,53.Trincomalee,Muttur,Muttur,2.1C,provincial
16274,ASHRAFF VIDYALAYA,"NEITHAL NAGAR, MUTUR-01",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16275,HAKEEM VIDYALAYAM,"BAHRIYA NAHAR, VADDAM, MUTUR-01",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16276,AYISHA VIDYALAYAM,MOSQUE ROAD AKKARAICHENAI MUTUR-01,Eastern,53.Trincomalee,Muttur,Muttur,3.Type2,provincial
16277,FURKKANIYA VIDYALAYAM,M.H.M.ASRAFF ROAD,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16278,SRI MATHUMAI AMBAL VIDYALAYAM,ALLESS GARDEN TRINCOMALEE,Eastern,53.Trincomalee,Trincomalee,Trincomalee Town,3.Type2,provincial
16279,AS SALAH VIDYALAYAM,SATHAM NAGAR MULLIPOTHANA,Eastern,53.Trincomalee,Kinniya,Mullipothana,4.Type3,provincial
16280,AZ ZAKARIYA VIDYALAYAM,MAHAMARU KULAM KINNIYA,Eastern,53.Trincomalee,Kinniya,Kurinchakerny,4.Type3,provincial
16281,OUR LADY OF LOURDES ROMAN CATHOLIC VIDYALAYAM,"CHURCH ROAD, PALAIYOOTHU, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Trincomalee Town,4.Type3,provincial
16282,DHARUL JANNAH VIDYALAYAM,"RDS ROAD, AKKARAICHENAI, MUTUR-01",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16283,IYNGARAN VIDYALAYAM,"SANTHANAVEDDAI, KADDAIPARICHCHAN-02, MUTHUR",Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16284,UMAR FAROOK VIDYALAYAM,HABEEB NAGAR MUTHUR,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16285,AS-SAFA MUSLIM VIDYALAYAM,"SAFA NAGAR, PULMODDAI-01, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16287,AN NAJEEB VIDYALAYAM,SIRAJ NAGAR THAMPALAGAMAM,Eastern,53.Trincomalee,Kinniya,Mullipothana,4.Type3,provincial
16288,AL-HATHI VIDYALAYAM,SELVANAGAR THOPPUR,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16291,GIRLS' HIGH SCHOOL,"ABAYAPURA, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Trincomalee Town,2.1C,provincial
16293,KUMPURUPIDDY JUNIOR SCHOOL,"KUMPURUPIDDY, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16294,AL-ZAHIR VIDYALAYAM,ALLAINAGAR THOPPUR-31250,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16295,SIRAJ JUNIOR VIDYALAYAM,SIRAJ NAGAR THAMPALAGAMAM,Eastern,53.Trincomalee,Kinniya,Mullipothana,4.Type3,provincial
16296,AGBOPURA JUNIOR VIDYALAYA,"AGBOPURA, KANTALE",Eastern,53.Trincomalee,Kantale,Kantale,4.Type3,provincial
16297,PADAVI PALUGAHAWANGUWA P.V.,PADAVI SRIPURA,Eastern,53.Trincomalee,Trincomalee North,Padavi Sripura,4.Type3,provincial
16298,SALMA GIRLS VIDYALAYAM,IQBAL NAGAR THOPPUR,Eastern,53.Trincomalee,Muttur,Muttur,4.Type3,provincial
16299,SALAMIYA VIDYALAYAM,"SALAMIYA STREET, PULMODDAI -03, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16300,SATHAM MUSLIM VIDYALAYAM,"TOWER ROAD, PULMODDAI-04, TRINCOMALEE",Eastern,53.Trincomalee,Trincomalee,Kuchchaveli,4.Type3,provincial
16301,GANTHALAWA JUNIOR SCHOOL,"MOLLIPOTHANA, KANTHALE",Eastern,53.Trincomalee,Kantale,Kantale,4.Type3,provincial
16302,MAHAWELIGAMA JUNIOR SCHOOL,"SERUNUWARA, KANTHALE",Eastern,53.Trincomalee,Kantale,Seruvila,4.Type3,provincial
16303,MOLLIPOTHANA PRIMARY SCHOOL,"96, MOILLIPOTHANA",Eastern,53.Trincomalee,Kantale,Kantale,4.Type3,provincial
16304,AL-HIJRA JUNIOR VIDYALAYAM,HIJRAPURAM MULLIPOTHANA,Eastern,53.Trincomalee,Kinniya,Mullipothana,4.Type3,provincial
