census_no,school_name,school_address,province,district,zone,education_division,school_type,category
19236,SRI DEWAMITHTHA PRIMARY SCHOOL,"GONEWA, RAMBEWA",North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
19237,SRI WIMALGANA MAHA VIDYALAYA,THANTHIRIMALE ANURADHAPURA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,2.1C,provincial
19238,THAMBIYAWA DARAMAPALA VIDYALAYA,THAMBIYAWA THANTHIRIMALE,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,2.1C,provincial
19239,THIBBATUWAGAMA VIDYALAYA,"TIBBATUWAGAMA, MAHABULANKULAMA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,4.Type3,provincial
19240,PARASANGASWEWA VIDYALAYA,"PARASANGASWEWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19241,PANIYANKADAWALA MAHA VIDYALAYA,"PAMIYANKADAWALA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,2.1C,provincial
19242,PUSIYANKULAMA MAHA VIDYALAYA,"ELAYAPATHTHUWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,2.1C,provincial
19243,PERIMIYANKULAMA ASHOKA MAHA VIDYALAYA,"PERIMIYANKULAMA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,2.1C,provincial
19244,SIRI DEEPANANDA P.V.,"PULIYANKULAMA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,4.Type3,provincial
19245,PUWARASANKULAMA VIDYALAYA,"PUWARASANKULAMA, PANIYANKADAWALA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19246,PANDUKABAYAPURA VIDYALAYA,PANDUKABAYAPURA ANURADHAPURA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,3.Type2,provincial
19247,BILLEWA VIDYALAYA,NELUMKANNIYA V,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,3.Type2,provincial
19248,MAHABODHI VIDYALAYA,"SANGAMITTA MW, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,4.Type3,provincial
19249,MAHAMANKADAWALA VIDYALAYA,"ELAYAPATHTHUWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19250,MAHABULANKULAMA MAHA VIDYALAYA,"MAHABULANKULAMA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,2.1C,provincial
19251,MAHAWILACHCHIYA SIDDARTHA VIDYALAYA,PEMADUWA ANURADHAPURA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,1.1AB,provincial
19252,SALIYAMALA VIDYALAYA,MANNAR JUNTION PEMADUWA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,2.1C,provincial
19253,THAKSHILA MAHA VIDYALAYA,BOGAS JUNCTION,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,2.1C,provincial
19254,MAHAVILACHCHIYA GAMINI VIDYALAYA,TRACK 03 MAHAEILACHCHIYA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,3.Type2,provincial
19255,MANKADAWALA MAHA VIDYALAYA,"SALIYAPURA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,2.1C,provincial
19256,MAHA AHETUWEWA VIDYALAYA,"ELAYAPATHTHUWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19257,MANINGAMUWA VIDYALAYA,ELAYAPATHTHUWA,North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,4.Type3,provincial
19258,SADAMALGAMA VIDYALAYA,SADAMALGAMA RAMBEWA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,4.Type3,provincial
19260,VIHARAPALUGAMA VIDYARAJA VIDYALAYA,"VIHARAPALUGAMA, ANURADAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19261,VIHARA BULANKULAMA VIDYALAYA,"VIHARA PALUGAMA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19262,SIRISAGABO VIDYALAYA,WANNIHELABEWA ELAYAPATHTHUWA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,4.Type3,provincial
19263,DHARMA PRADEEPA VIDYALAYA,"GAMBIRIGASWEWA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19264,SALIYAPURA VIDYALAYA,"SALIYAPURA, ANURADHAPURA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19265,SIYABALAGASWEWA MEDAGAMA VIDYALAYA,MEDAGAMA PARASANGASWEWA,North Central,71.Anuradhapura,Anuradhapura,Rambewa,3.Type2,provincial
19266,HALAMBAGASWEWA VIDYALAYA,GAMBIRIGASWEWA ANURADHAPURA,North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19267,DIGANEGAMA VIDYALAYA,"DIGANEGAMA, ELAYAPATHTHUWA",North Central,71.Anuradhapura,Anuradhapura,Nuwaragam Palatha Central,3.Type2,provincial
19268,OYAMADUWA VIDYALAYA,"OYMADUWA, ELEYAPATHTHUWA",North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,3.Type2,provincial
19269,ADMPANE SUDHARSHANA MAHA VIDYALAYA,ADAMPANE NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19270,VIDYALOKA MAHA VIDYALAYA,AMBAGAHWEWA RANORAWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19272,IHALAKEDITHOKKUWA VIDYALAYA,PAHALAHALMILLAWEWA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19273,OTTAPPUWA VIDYALAYA,GALADIWULWEWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19274,KATUPATHWEWA VIDYALAYA,KATUPATHWEWA PAHALAMARAGAHAWEWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19275,KADURUPITIYA ASHOKAMALA VIDYALAYA,KADURUOITIYA DUNUMADALAWA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,3.Type2,provincial
19276,KUKULKATUWA VIDYALAYA,KUKULKATUWA RANORAWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19277,GALADIVULWEWA SRI SUMANGALA VIDYALAYA,GALAWEWA GALADIULWEWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,2.1C,provincial
19278,THALGASWEWA VIDYARAVINDA VIDYALAYA,THALGASWEWA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19279,VIDYADEEPA MAHA VIDYALAYA,NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,2.1C,provincial
19280,DUNUMADALAWA VIDYALAYA,DUNUMADALAWA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Mahawilachchiya,3.Type2,provincial
19281,NOCHCHIYAGAMA VIDYADARASHA MAHA VIDYALAYA,NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,1.1AB,provincial
19282,PAHALA MARAGAHAWEWA VIDYARTHA MAHA VIDYALAYA,PAHALA MARAGAHAWEWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,2.1C,provincial
19283,PAHALA WETIYAWA VIDYALAYA,NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19284,SRI DUTUGEMUNU MAHA VIDYALAYA,PAHALA HALMILLAWEWA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,2.1C,provincial
19285,VIDUARUNA M.V.,RANORAWA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,2.1C,provincial
19286,RANORAWA PRIMARY SCHOOL,RANORAWA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19287,RALAPANAWA VIDYALAYA,"SINHARAGAMA, NOCHCHIYAGAMA",North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19288,RALAPANAWA JANAPADA VIDYALAYA,NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19289,LINDAWEWA VIDYALAYA,NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19290,HORUWILA VIDYALAYA,WILPATHTHU ROAD HORUWILA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19293,IPALOGAMA VIDYALAYA,UDUNUWARA JANAPADAYA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,3.Type2,provincial
19294,SARAKKUGALA VIDYALAYA,PAHALAHALMIIAWEWA NOCHCHIYAGAMA,North Central,71.Anuradhapura,Anuradhapura,Nochchiyagama,4.Type3,provincial
19295,KAGAMA YAYA 09 MAHA VIDYALAYA,"YAYA 9, KATTIYAWA, EPPAWALA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,2.1C,provincial
19297,THALAWA M.V.,THALAWA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,1.1AB,provincial
19298,RAJANGANAYA YAYA 05 MAHA VIDYALAYA,RAJANGANAYA,North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,1.1AB,provincial
19299,RAJANGANAYA YAYA 10 M.V.,YAYA 10 GAMUNUPURA,North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,1.1AB,provincial
19300,RAJANGANYA YAYA 13-14 MAHASEN MAHA VIDYALAYA,RAJANGANA JUNCTION KALAOYA,North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,1.1AB,provincial
19301,KAGAMA TRACT SIX DUTUGAMUNU M.V.,TRACT SIX KATIYAWA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19302,SENAPURA MAHA VIDYALAYA,SENAPURA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,2.1C,provincial
19303,ANGAMUWA YAYA 06 MAHA VIDYALAYA,"RAJANGANAYA YAYA 06, ANGAMUWA",North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,2.1C,provincial
19304,ALUTHWEWA GALMADUWA VIDYALAYA,MAHAILUPPALLAMA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19305,IHALA HALMILLEWA M.V.,"IHALAHALMILLEWA, EPPAWALA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,2.1C,provincial
19307,KATIYAWA YAYA 10 VIDYALAYA,"YAYA 10, KATIYAWA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,4.Type3,provincial
19308,KATIYAWA YAYA 01 VIDYALAYA,"YAYA 01, KATIYAWA, EPPAWALA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19310,KARAGAHAWEWA VIDYALAYA,"KARAGAHAWEWA, THALAWA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19311,KELEDIULWEWA VIDYALAYA,MAHAILUPPALLAMA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19312,KUDAGAMA VIDYALAYA,KUDAGAMA THAMBUTHTHEGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19313,THAMMANNAGAMA ALUTHWEWA VIDYALAYA,MAHAILUPPALLAMA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,4.Type3,provincial
19314,TALAWA NABADAWEWA VIDYALAYA,"TALAWA NABADAWEWA, THALAWA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,4.Type3,provincial
19315,SRI SUMANGALA MAHA VIDYALAYA,NABADAWEWA ENDAGALA EPPAWALA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,2.1C,provincial
19316,NALLACHCHIYA VIDYALAYA,NALLACHCHIYA THAMBUTHTHEGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19317,PAINDIKULAMA PANDUKABHAYA VIDYALAYA,MALWANEGAMA THALAWA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19318,PAHALATHALAWA VIDYALAYA,PAHALATHALAWA THALAWA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19319,POTHIYAGAMA MAITHREE VIDYALAYA,PAHALAGAMA THAMBUTHTHEGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,2.1C,provincial
19320,MAHAILLUPPALLAMA V.,MAHAILLUPPALLAMA,North Central,71.Anuradhapura,Kekirawa,Ipalogama,2.1C,provincial
19321,MAHABELLANKADAWALA MAHA VIDYALAYA,MALWANEGAMA TALAWA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,2.1C,provincial
19322,RAJANGANAYA YAYA 01 CHILD FRIEND SCHOOL,"YAYA 01, RAJANGANYA (SOUTH BANK)",North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,4.Type3,provincial
19323,RAJANGANYA YAYA 04 PRIMARY SCHOOL,RAJANGANYA,North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,4.Type3,provincial
19324,RAJANGANAYA YAYA 08 SRI RAHULA VIDYALAYA,ANGAMUWA,North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,3.Type2,provincial
19325,RAJANGANAYA YAYA 15 VIDYALAYA,"YAYA 15, PAHALAMARAGAHAWEWA",North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,3.Type2,provincial
19326,SIRIMAPURA MAHA VIDYALAYA,"SIRIMAPURA, THAMBUTHTHEGAMA",North Central,71.Anuradhapura,Thambuttegama,Rajanganaya,2.1C,provincial
19327,SOLAMA VIDYALAYA,"PAHALAGAMA, THAMBUTHTHEGAMA",North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19328,HIRIGOLLEGAMA VIDYALAYA,"HIRIGOLLEGAMA, THALAWA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19329,DELNGAMA VIDYALAYA,DELNEGAMA KIRALOGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19330,THELHIRIYAWA VIDYALAYA,THELHIRIYAWA THAMBUTHTHEGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,3.Type2,provincial
19331,SRI PARAKUM PRIMARY SCHOOL,"IHALAHALMILLEWA, EPPAWALA",North Central,71.Anuradhapura,Thambuttegama,Thalawa,4.Type3,provincial
19332,GALWADUWAGAMA VIDYALAYA,EPPAWALA,North Central,71.Anuradhapura,Thambuttegama,Thalawa,3.Type2,provincial
19333,GURUGAMA VIDYALAYA,GURUGAMA THAMBUTHTHEGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,4.Type3,provincial
19334,THAMBUTHTHEGAMA MODEL PRIMARY SCHOOL,KURUNEGALA ROAD THAMBUTHTHEGAMA,North Central,71.Anuradhapura,Thambuttegama,Thambuttegama,4.Type3,provincial
