census_no,school_name,school_address,province,district,zone,education_division,school_type,category
24516,DIKELLA KANISHTA V.,"DIKELLA, HETTIMULLA, KEGALLE",Sabaragamuwa,92.Kegalle,Kegalle,Kegalle,4.Type3,provincial
24517,KURUDUHINNA P.V.,"KURUDUHINNA, KEGALLE",Sabaragamuwa,92.Kegalle,Kegalle,Kegalle,4.Type3,provincial
24518,UDAMBA SIYABALAPITIYA P.S.,"UDAMBASIYABALAPITIYA, KEGALLE",Sabaragamuwa,92.Kegalle,Kegalle,Kegalle,4.Type3,provincial
24519,GOLINDA TAMIL K.V.,HETTIMULLA,Sabaragamuwa,92.Kegalle,Kegalle,Kegalle,3.Type2,provincial
24520,GALIGAMUWA CENRTAL COLLEGE,GALIGAMUWA TOWN,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,1.1AB,provincial
24521,BOYAGAMA M.V.,GALIGAMUWA TOWN,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,2.1C,provincial
24522,ATUGODA SRI SUMANGALA K.V.,"ATUGODA, DAMUNUPOLA",Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24523,KOBBEWELA KEERTHIRATHNA M.V.,GALIGAMUWA TOWN,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,2.1C,provincial
24524,DAMUNUPOLA K.V.,DAMUNUPOLA KEGALLE,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24525,SIYABALAPITITA YATALATHISSA K.V.,YATTOGODA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24526,PALAPOLUWA K.V.,"PALAPOLUWA, YATTOGODA",Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24527,KADIGAMUWA BAMBARAGAMA K.V.,PITAGALDENIYA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24528,IMBULGALA K.V.,HETTIMULLA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24529,HAKAHINNA M.V.,HAKAHINNA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,2.1C,provincial
24530,HAKAHINNA P.V.,HAKAHINNA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24531,UDA ASIDENIYA P.V.,GALIGAMUWA TOWN,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24533,GALIGAMUWA P.V.,GALIGAMUWA TOWN,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24536,WADURADENIYA P.V.,"DAMUNUPOLA, KEGALLA",Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24539,WALAGAMA M.V.,DEWALEGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,1.1AB,provincial
24540,PANAKAWA M.V.,"EDURAPOTHA, KEGALLE.",Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,2.1C,provincial
24541,KANDEGEDARA K.V.,DEWALEGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24542,AMBUWANGALA K.V.,AMBUWANGALA IMBULGASDENIYA,Sabaragamuwa,92.Kegalle,Mawanella,Rambukkana,3.Type2,provincial
24544,HATHNAGODA K.V.,HATHNAGODA BELIGALA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24545,NAWAGAMUWA K.V.,DEWALEGAMA.,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24546,BAMUNUGAMA MALIYADEWA K.V.,DEWALEGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24547,BATUWATHTHA K.V.,"BATUWATHTHA, HELAMADA",Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24550,MAKUDDALA P.V.,MAKUDDALA HELAMADA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24551,WALAGAMA ROMAN CATHOLIC P.V.,DEWALEGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24555,EDURAPOTHA P.V.,EDURAPOTA DEWALEGAMA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,4.Type3,provincial
24557,BELIGALA BODHIRAJA M.V.,BELIGALA (S P) KEGALLE,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,2.1C,provincial
24558,KAHAMBILIYAWALA M.V.,"KAHABILIYAWALA, ALAWWA",Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,2.1C,provincial
24559,KALUGALA K.V.,"KALUGALA, BELIGALA",Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,3.Type2,provincial
24560,SRI DHAMMAJOTHI K.V.,HELAMADA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,3.Type2,provincial
24561,PASPOLAKANDA K.V.,ALAWWA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,3.Type2,provincial
24563,HELIYAGODA P.V.,"HELIYAGODA, BELIGALA",Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,4.Type3,provincial
24565,VIDYAWARDANA NEW P.V.,"MATIYAGANE, BELIGALA",Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,4.Type3,provincial
24567,WENIWELLAKADUWA P.V.,WENIWELLAKADUWA ALAWWA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,4.Type3,provincial
24568,DEDIGAMA PERAKUMBA M.V.,"DEDIGAMA, THUNTHOTA",Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,1.1AB,provincial
24569,MORAWAKA K.V.,MORAWAKA NELUNDENIYA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,3.Type2,provincial
24570,IHALAGAMA SRI SEELARATHANA K.V.,IHALAGAMA NELUNDENIYA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,3.Type2,provincial
24571,MENIKKADAWARA K.V.,MENIKKADAWARA THUNTHOTA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,3.Type2,provincial
24572,HOLOMBUWA K.V.,HOLOMBUWA THUNTHOTA,Sabaragamuwa,92.Kegalle,Kegalle,Galigamuwa,3.Type2,provincial
24573,DEDIGAMA P.V.,"DEDIGAMA, THUNTHOTA",Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,4.Type3,provincial
24574,GASNAWA TAMIL V.,NELUNDENIYA,Sabaragamuwa,92.Kegalle,Kegalle,Dedigama,4.Type3,provincial
24578,AMBEPUSSA M.V.,WARAKAPOLA,Sabaragamuwa,92.Kegalle,Kegalle,Warakapola,2.1C,provincial
