census_no,school_name,school_address,province,district,zone,education_division,school_type,category
5393,WEST WARD HO TAMIL V.,NUWARA ELIYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,3.Type2,provincial
5394,LINDULA TAMIL VIDYALAYAM,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5395,MATTAKELLE TAMIL V.,TALAWAKELLE,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5396,LAMILIERE TAMIL V.,TALAWAKELLE,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5397,WALTRIM TAMIL V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - II,4.Type3,provincial
5398,UDARADELLA TAMIL V.,NANUOYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5399,GALKANTHAWATHA TAMIL V.,TALAWAKELLE,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5400,PALMESTON TAMIL VIDYALAYA,THALAWAKELLE,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,3.Type2,provincial
5401,SOMERSET TAMIL VIDYALAYAM,NANUOYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5402,ELGIN.TAMIL V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,4.Type3,provincial
5403,TANGAKELLE NO 2 T.V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,4.Type3,provincial
5404,CONCORDIA TAMIL V.,KANDAPOLA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5405,GOATFELL TAMIL V.,KANDAPOLA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5406,SUMMER HILL.TAMIL V.,KANDAPOLA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5407,MORNINGTON TAMIL V.,AGARAPATANA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,4.Type3,provincial
5408,WANGIOYA NO 01 TAMIL V.,NANUOYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5409,TANGAKELLE.NO 01 TAMIL M.V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,3.Type2,provincial
5410,TANGAKELLE NO 03 TAMIL V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,4.Type3,provincial
5411,OUVAKELLE NO 02 TAMIL V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,4.Type3,provincial
5412,LIPPAKELE TAMIL V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,4.Type3,provincial
5414,WANGIE OYA NO 02 TAMIL V.,NANUOYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5415,GLENEAGLES TAMIL V.,LINDULA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - III,3.Type2,provincial
5416,"PARK TAMIL V., KANDAPOLA",KANDAPOLA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,3.Type2,provincial
5418,THISPANE TAMIL P.V.,NAWATHISPANE,Central,23.Nuwara Eliya,Kotmale,Kotmale,4.Type3,provincial
5419,EYRIE TAMIL M.V.,RAMBODA,Central,23.Nuwara Eliya,Kotmale,Kotmale,2.1C,provincial
5420,RAMANATHAN THONDAMAN TAMIL V.,RAMBDA,Central,23.Nuwara Eliya,Kotmale,Kotmale,4.Type3,provincial
5421,BAMBARAKELLE TAMIL V.,NUWARA ELIYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5422,BELGRAVIA TAMIL V.,TALAWAKELLE,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - II,4.Type3,provincial
5423,GLASSAUGH TAMIL V.,GLASSAUGH NANUOYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5424,ESKADALE TAMIL V.,ESKADALE KANDAPOLA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5425,PEDRO TAMIL V.,NUWARA ELIYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,3.Type2,provincial
5426,OLIPHANT TAMIL VIDYALAYA,NUWARA ELIYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5427,MOONPLAINS TAMIL VIDYALAYA,NUWARA ELIYA,Central,23.Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Tamil - I,4.Type3,provincial
5430,GANGAPALATHA MAHA VIDYALAYA,GONAGANTHANNA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,2.1C,provincial
5431,PALLEBOWALA SECONDARY SCHOOL,PALLEBOWALA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,1.1AB,provincial
5432,DIYATHILAKA CENTRAL COLLEGE,HANGURANKETHA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,1.1AB,provincial
5433,SIRIMAVO BANDARANAYAKE BALIKA MAHA VDYALAYA,HANGUNRANKETHA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,1.1AB,provincial
5434,EKIRIYA VIDYALAYA,EKIRIYA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5435,UDAWATHTHA KANISHTA VIDYALAYA,UDAWATHTHA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5436,UNANTHENNA KANISHTA VIDYALAYA,"UNANTHENNA, HANGURANKETHA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5437,DIMBULKUMBURA KANISHTA VIDYALAYA,"DIMBULKUMBURA, RIKILLAGSKADA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5438,PALLEGALAUDA KANISHTA VIDYALAYA,"PALLEGALAUDA, ILLAGOLLA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5439,VIDYAKARA MAHA VIDYALAYA,"PORAMADULLA, RIKILLAGASKADA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,2.1C,provincial
5440,BABARAGAMA PRIMARY SCHOOL,HEWAHATA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5441,RAHATHUNGODA MAHA VIDYALAYA,"RAHATHUNGODA, HEWAHETA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5442,JAYABIMA KANISHTA VIDYALAYA,RIKILLAGASKADA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5443,HANDWALAPITIYA VIDYALAYA,HANDAWALAPITIYA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5444,HAPUWALA KANISHTA VIDYALAYA,HAPUWALA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,3.Type2,provincial
5446,HEENNAPITA PRIMARY SCHOOL,"HEENNAPITA, EKIRIYA",Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
5447,VIDYANANDA PRIMARY SCHOOL,HANGURANKETHA,Central,23.Nuwara Eliya,Hanguranketha,Udahewaheta,4.Type3,provincial
