census_no,school_name,school_address,province,district,zone,education_division,school_type,category
14251,MATHURANKERNYKULAM G.T.M.S.,"MATHURANKERNYKULAM, MANKERNY",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,3.Type2,provincial
14252,KIRIMICHODAI G.T.M.S.,"KIRIMICHODAI, MANKERNY",Eastern,51.Batticaloa,Kalkudah,Koralai Pattu North,4.Type3,provincial
14253,VINAYAGAR GRAMAM ALAIMAGAL VIDYALAYAM,SITTANDY -01,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14254,PERIYAVADDAVAN KANNAIKI VIDYALAYA,SITTANDY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14255,PERUMALVELY SRI VANI VIDYALAYA,SITTANDY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14256,ORUMOOLAICHOLAI SRI SITHY VINAYAGAR VIDYALAYA,KOMMATHURAI,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,3.Type2,provincial
14257,UTHAYANMOOLAI VIVEGANANDAH VIDYALAYA,SITTHANDY -04,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14258,ILLOKUPOTHTHANAI MALAIMAGAL VIDYALAYAM,SITTANDY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14259,SAVUKKADY BARATHY VIDYALAYAM,SAVUKKADY THANNAMUNAI,Eastern,51.Batticaloa,Batticaloa,Eravur Pattu - I (Chenkalady),3.Type2,provincial
14260,KUIMARAVELIYAR GRAMAM SITHY VINAYAGAR VIDYALAYA,CHENKALADY,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14264,VANTHARUMOOLAI KANNAIKI VIDYALAYA,VANTHARUMOOLAI,Eastern,51.Batticaloa,Kalkudah,Eravur Pattu - II,4.Type3,provincial
14265,KAYANMADU G.T.M.S.,"KAYANMADU, KANNANKUDAH",Eastern,51.Batticaloa,Batticaloa West,Manmunai West,3.Type2,provincial
14266,IRUDDUCHOLAIMADU VISHNU VIDYALAYAM,KANNANKUDAH,Eastern,51.Batticaloa,Batticaloa West,Manmunai West,3.Type2,provincial
14267,MADDIKALY TAMIL VIDYALAYAM,BATTICALOA,Eastern,51.Batticaloa,Batticaloa,Manmunai North (Batticaloa),4.Type3,provincial
14268,THIRAIMADU TAMIL VIDYALAYAM,"THIRAIMADU, BATTICALOA",Eastern,51.Batticaloa,Batticaloa,Manmunai North (Batticaloa),4.Type3,provincial
14269,MOHIDEEN VIDYALAYA,"MANCHANTHODUWAI SOUTH, BATTICALOA",Eastern,51.Batticaloa,Batticaloa Central,Kaththankudy,4.Type3,provincial
